CandidateID,FirstName,LastName,Gender,Age,Email,PhoneNumber,TeamID,CohortID,ProvinceID,BranchID,EnrollmentDate
CAN042,Sthembiso,Ngubane,Male,25,sthembiso.ngubane@email.com,0834567894,TM009,COH003,PROV001,BR001,2025-02-15
CAN043,Zinhle,Sibiya,Female,30,zinhle.sibiya@email.com,0845678905,TM009,COH003,PROV001,BR001,2025-02-15
CAN044,Bongani,Khumalo,Male,27,bongani.khumalo@email.com,0856789016,TM009,COH003,PROV001,BR001,2025-02-15
CAN045,Jade,Robinson,Female,24,jade.robinson@email.com,0867890127,TM010,COH003,PROV002,BR002,2025-02-15
CAN046,Cameron,Lewis,Male,26,cameron.lewis@email.com,0878901238,TM010,COH003,PROV002,BR002,2025-02-15
CAN047,Emma,Harris,Female,23,emma.harris@email.com,0889012349,TM010,COH003,PROV002,BR002,2025-02-15
CAN048,Josh,Clark,Male,28,josh.clark@email.com,0890123460,TM010,COH003,PROV002,BR002,2025-02-15
CAN049,Olivia,Walker,Female,25,olivia.walker@email.com,0801234571,TM010,COH003,PROV002,BR002,2025-02-15
CAN050,Zoe,Hall,Female,27,zoe.hall@email.com,0812345682,TM010,COH003,PROV002,BR002,2025-02-15
CAN051,Amahle,Gwala,Female,29,amahle.gwala@email.com,0823456784,TM011,COH003,PROV003,BR003,2025-02-15
CAN052,Siyabonga,Nkomo,Male,24,siyabonga.nkomo@email.com,0834567895,TM011,COH003,PROV003,BR003,2025-02-15
CAN053,Nomfundo,Tshabalala,Female,26,nomfundo.tshabalala@email.com,0845678906,TM011,COH003,PROV003,BR003,2025-02-15
CAN054,Khulekani,Mthembu,Male,31,khulekani.mthembu@email.com,0856789017,TM011,COH003,PROV003,BR003,2025-02-15
CAN055,Refilwe,Mmotong,Female,25,refilwe.mmotong@email.com,0867890128,TM012,COH003,PROV004,BR004,2025-02-15
CAN056,Thulani,Dlamini,Male,28,thulani.dlamini@email.com,0878901239,TM012,COH003,PROV004,BR004,2025-02-15
CAN057,Palesa,Mokoena,Female,23,palesa.mokoena@email.com,0889012350,TM012,COH003,PROV004,BR004,2025-02-15
CAN058,Tshepo,Mothiba,Male,27,tshepo.mothiba@email.com,0890123461,TM012,COH003,PROV004,BR004,2025-02-15
CAN059,Lebohang,Tau,Male,24,lebohang.tau@email.com,0801234572,TM012,COH003,PROV004,BR004,2025-02-15
CAN060,Nobuhle,Mthethwa,Female,30,nobuhle.mthethwa@email.com,0812345683,TM013,COH004,PROV001,BR001,2025-03-01
CAN061,Sizwe,Majola,Male,26,sizwe.majola@email.com,0823456785,TM013,COH004,PROV001,BR001,2025-03-01
CAN062,Nomcebo,Shezi,Female,22,nomcebo.shezi@email.com,0834567896,TM013,COH004,PROV001,BR001,2025-03-01
CAN063,Mthunzi,Gumede,Male,29,mthunzi.gumede@email.com,0845678907,TM013,COH004,PROV001,BR001,2025-03-01
CAN064,Zanele,Moyo,Female,25,zanele.moyo@email.com,0856789018,TM013,COH004,PROV001,BR001,2025-03-01
CAN065,Sbongile,Mncwabe,Female,28,sbongile.mncwabe@email.com,0867890129,TM013,COH004,PROV001,BR001,2025-03-01
CAN066,Megan,Green,Female,24,megan.green@email.com,0878901240,TM014,COH004,PROV002,BR002,2025-03-01
CAN067,Daniel,White,Male,27,daniel.white@email.com,0889012351,TM014,COH004,PROV002,BR002,2025-03-01
CAN068,Sophie,King,Female,23,sophie.king@email.com,0890123462,TM014,COH004,PROV002,BR002,2025-03-01
CAN069,Matthew,Scott,Male,31,matthew.scott@email.com,0801234573,TM014,COH004,PROV002,BR002,2025-03-01
CAN070,Athenkosi,Mbeki,Male,25,athenkosi.mbeki@email.com,0812345684,TM015,COH004,PROV003,BR003,2025-03-01
CAN071,Asanda,Mtolo,Female,28,asanda.mtolo@email.com,0823456786,TM015,COH004,PROV003,BR003,2025-03-01
CAN072,Lwazi,Botha,Male,24,lwazi.botha@email.com,0834567897,TM015,COH004,PROV003,BR003,2025-03-01
CAN073,Zethu,Nxumalo,Female,26,zethu.nxumalo@email.com,0845678908,TM015,COH004,PROV003,BR003,2025-03-01
CAN074,Siviwe,Magubane,Male,27,siviwe.magubane@email.com,0856789019,TM015,COH004,PROV003,BR003,2025-03-01
CAN075,Mapaseka,Mokhele,Female,29,mapaseka.mokhele@email.com,0867890130,TM016,COH004,PROV004,BR004,2025-03-01
CAN076,Tshepiso,Mthombeni,Male,22,tshepiso.mthombeni@email.com,0878901241,TM016,COH004,PROV004,BR004,2025-03-01
CAN077,Bontle,Ntshingila,Female,25,bontle.ntshingila@email.com,0889012352,TM016,COH004,PROV004,BR004,2025-03-01
CAN078,Given,Matsane,Male,28,given.matsane@email.com,0890123463,TM016,COH004,PROV004,BR004,2025-03-01
CAN079,Kelebogile,Mphahlele,Female,24,kelebogile.mphahlele@email.com,0801234574,TM016,COH004,PROV004,BR004,2025-03-01
CAN080,Simphiwe,Mahlangu,Male,26,simphiwe.mahlangu@email.com,0812345685,TM017,COH005,PROV001,BR001,2025-03-15
CAN081,Thandiwe,Mdluli,Female,30,thandiwe.mdluli@email.com,0823456787,TM017,COH005,PROV001,BR001,2025-03-15
CAN082,Sandile,Masuku,Male,23,sandile.masuku@email.com,0834567898,TM017,COH005,PROV001,BR001,2025-03-15
CAN083,Nomsa,Phungula,Female,27,nomsa.phungula@email.com,0845678909,TM017,COH005,PROV001,BR001,2025-03-15
CAN084,Isabella,Young,Female,25,isabella.young@email.com,0856789020,TM018,COH005,PROV002,BR002,2025-03-15
CAN085,Alexander,Thompson,Male,29,alexander.thompson@email.com,0867890131,TM018,COH005,PROV002,BR002,2025-03-15
CAN086,Grace,Anderson,Female,24,grace.anderson@email.com,0878901242,TM018,COH005,PROV002,BR002,2025-03-15
CAN087,James,Thomas,Male,26,james.thomas@email.com,0889012353,TM018,COH005,PROV002,BR002,2025-03-15
CAN088,Charlotte,Jackson,Female,22,charlotte.jackson@email.com,0890123464,TM018,COH005,PROV002,BR002,2025-03-15
CAN089,Benjamin,Martin,Male,28,benjamin.martin@email.com,0801234575,TM018,COH005,PROV002,BR002,2025-03-15
CAN090,Aphiwe,Masango,Female,27,aphiwe.masango@email.com,0812345686,TM019,COH005,PROV003,BR003,2025-03-15
CAN091,Mzwandile,Duma,Male,25,mzwandile.duma@email.com,0823456788,TM019,COH005,PROV003,BR003,2025-03-15
CAN092,Nokuthula,Jiyane,Female,31,nokuthula.jiyane@email.com,0834567899,TM019,COH005,PROV003,BR003,2025-03-15
CAN093,Bonginkosi,Mthembu,Male,24,bonginkosi.mthembu@email.com,0845678910,TM019,COH005,PROV003,BR003,2025-03-15
CAN094,Sibongile,Zungu,Female,26,sibongile.zungu@email.com,0856789021,TM019,COH005,PROV003,BR003,2025-03-15
CAN095,Kamogelo,Letsoalo,Female,23,kamogelo.letsoalo@email.com,0867890132,TM020,COH005,PROV004,BR004,2025-03-15
CAN096,Phillip,Mthembu,Male,28,phillip.mthembu@email.com,0878901243,TM020,COH005,PROV004,BR004,2025-03-15
CAN097,Kgothatso,Mogale,Male,25,kgothatso.mogale@email.com,0889012354,TM020,COH005,PROV004,BR004,2025-03-15
CAN098,Tshegofatso,Makhubela,Female,27,tshegofatso.makhubela@email.com,0890123465,TM020,COH005,PROV004,BR004,2025-03-15
CAN099,Musa,Mbhele,Male,30,musa.mbhele@email.com,0801234576,TM021,COH006,PROV001,BR001,2025-04-01
CAN100,Nthabiseng,Moremi,Female,24,nthabiseng.moremi@email.com,0812345687,TM021,COH006,PROV001,BR001,2025-04-01
CAN101,Thulisile,Dlamini,Female,26,thulisile.dlamini@email.com,0823456789,TM021,COH006,PROV001,BR001,2025-04-01
CAN102,Bheki,Mthembu,Male,22,bheki.mthembu@email.com,0834567890,TM021,COH006,PROV001,BR001,2025-04-01
CAN103,Zanele,Nkomo,Female,29,zanele.nkomo@email.com,0845678901,TM021,COH006,PROV001,BR001,2025-04-01
CAN104,Tyler,Roberts,Male,25,tyler.roberts@email.com,0856789012,TM022,COH006,PROV002,BR002,2025-04-01
CAN105,Amy,Edwards,Female,28,amy.edwards@email.com,0867890123,TM022,COH006,PROV002,BR002,2025-04-01
CAN106,Nathan,Evans,Male,24,nathan.evans@email.com,0878901234,TM022,COH006,PROV002,BR002,2025-04-01
CAN107,Hannah,Turner,Female,27,hannah.turner@email.com,0889012345,TM022,COH006,PROV002,BR002,2025-04-01
CAN108,Nomonde,Majola,Female,31,nomonde.majola@email.com,0890123456,TM023,COH006,PROV003,BR003,2025-04-01
CAN109,Mandla,Shezi,Male,23,mandla.shezi@email.com,0801234567,TM023,COH006,PROV003,BR003,2025-04-01
CAN110,Noluthando,Gumede,Female,26,noluthando.gumede@email.com,0812345678,TM023,COH006,PROV003,BR003,2025-04-01
CAN111,Sifiso,Moyo,Male,28,sifiso.moyo@email.com,0823456789,TM023,COH006,PROV003,BR003,2025-04-01
CAN112,Nonkululeko,Mncwabe,Female,25,nonkululeko.mncwabe@email.com,0834567890,TM023,COH006,PROV003,BR003,2025-04-01
CAN113,Ayanda,Mthethwa,Male,27,ayanda.mthethwa@email.com,0845678901,TM023,COH006,PROV003,BR003,2025-04-01
CAN114,Rethabile,Mofokeng,Female,24,rethabile.mofokeng@email.com,0856789012,TM024,COH006,PROV004,BR004,2025-04-01
CAN115,Mmabatho,Tau,Female,29,mmabatho.tau@email.com,0867890123,TM024,COH006,PROV004,BR004,2025-04-01
CAN116,Kagiso,Molefe,Male,26,kagiso.molefe@email.com,0878901234,TM024,COH006,PROV004,BR004,2025-04-01
CAN117,Masego,Morake,Female,22,masego.morake@email.com,0889012345,TM024,COH006,PROV004,BR004,2025-04-01
CAN118,Tumelo,Letsholonyane,Male,28,tumelo.letsholonyane@email.com,0890123456,TM024,COH006,PROV004,BR004,2025-04-01
CAN119,Nkosinathi,Mthembu,Male,25,nkosinathi.mthembu@email.com,0801234567,TM025,COH007,PROV001,BR001,2025-04-15
CAN120,Nokwanda,Sibiya,Female,30,nokwanda.sibiya@email.com,0812345678,TM025,COH007,PROV001,BR001,2025-04-15
CAN121,Sthembiso,Khumalo,Male,24,sthembiso.khumalo@email.com,0823456789,TM025,COH007,PROV001,BR001,2025-04-15
CAN122,Zandile,Ngubane,Female,26,zandile.ngubane@email.com,0834567890,TM025,COH007,PROV001,BR001,2025-04-15
CAN123,Ethan,Phillips,Male,27,ethan.phillips@email.com,0845678901,TM026,COH007,PROV002,BR002,2025-04-15
CAN124,Caitlin,Campbell,Female,23,caitlin.campbell@email.com,0856789012,TM026,COH007,PROV002,BR002,2025-04-15
CAN125,Jordan,Parker,Male,29,jordan.parker@email.com,0867890123,TM026,COH007,PROV002,BR002,2025-04-15
CAN126,Rebecca,Mitchell,Female,25,rebecca.mitchell@email.com,0878901234,TM026,COH007,PROV002,BR002,2025-04-15
CAN127,Aaron,Carter,Male,28,aaron.carter@email.com,0889012345,TM026,COH007,PROV002,BR002,2025-04-15
CAN128,Luvuyo,Magubane,Male,24,luvuyo.magubane@email.com,0890123456,TM027,COH007,PROV003,BR003,2025-04-15
CAN129,Nomsa,Botha,Female,27,nomsa.botha@email.com,0801234567,TM027,COH007,PROV003,BR003,2025-04-15
CAN130,Mthunzi,Nxumalo,Male,31,mthunzi.nxumalo@email.com,0812345678,TM027,COH007,PROV003,BR003,2025-04-15
CAN131,Asiphe,Mbeki,Female,25,asiphe.mbeki@email.com,0823456789,TM027,COH007,PROV003,BR003,2025-04-15
CAN132,Sizani,Mtolo,Male,28,sizani.mtolo@email.com,0834567890,TM027,COH007,PROV003,BR003,2025-04-15
CAN133,Zintle,Jiyane,Female,26,zintle.jiyane@email.com,0845678901,TM027,COH007,PROV003,BR003,2025-04-15
CAN134,Mpumelelo,Mthombeni,Male,23,mpumelelo.mthombeni@email.com,0856789012,TM028,COH007,PROV004,BR004,2025-04-15
CAN135,Boitumelo,Ntshingila,Female,29,boitumelo.ntshingila@email.com,0867890123,TM028,COH007,PROV004,BR004,2025-04-15
CAN136,Karabo,Matsane,Male,26,karabo.matsane@email.com,0878901234,TM028,COH007,PROV004,BR004,2025-04-15
CAN137,Keabetswe,Mphahlele,Female,24,keabetswe.mphahlele@email.com,0889012345,TM028,COH007,PROV004,BR004,2025-04-15
CAN138,Tebello,Mahlangu,Male,27,tebello.mahlangu@email.com,0890123456,TM028,COH007,PROV004,BR004,2025-04-15
